"last_name, first_name","player_id","year","ff_avg_speed","ff_avg_spin"
"McLean, Nolan",690997,2026,"96.1","2333"
"Luzardo, Jesús",666200,2026,"97","2238"
"Baz, Shane",669358,2026,"96","2406"
"Soriano, José",667755,2026,"97.2","2183"
"Bradish, Kyle",680694,2026,"94","2400"
"Ray, Robbie",592662,2026,"93.2","2332"
"Williams, Gavin",668909,2026,"97.2","2298"
"Sánchez, Cristopher",650911,2026,,
"King, Michael",650633,2026,"94","2335"
"Skenes, Paul",694973,2026,"96.9","2176"
"Weathers, Ryan",677960,2026,"95.8","2380"
"Martin, Davis",663436,2026,"94","2410"
"Lugo, Seth",607625,2026,"91.6","2277"
"Detmers, Reid",672282,2026,"94.1","2149"
"Eovaldi, Nathan",543135,2026,"94.6","2181"
"Wrobleski, Justin",680736,2026,"94.3","2447"
"Ashcraft, Braxton",677952,2026,"97.2","2353"
"Nola, Aaron",605400,2026,"92.2","2348"
"Webb, Logan",657277,2026,"92.3","2087"
"Bibee, Tanner",676440,2026,"94","2157"
"Gilbert, Logan",669302,2026,"96","2190"
"Woo, Bryan",693433,2026,"95.9","2289"
"Elder, Bryce",693821,2026,"92.6","2227"
"Rodriguez, Eduardo",593958,2026,"92","2290"
"McGreevy, Michael",700241,2026,"91.7","2237"
"Burke, Sean",680732,2026,"94.9","2584"
"Alcantara, Sandy",645261,2026,"97.5","2259"
"Griffin, Foster",656492,2026,"91.5","2094"
"Rasmussen, Drew",656876,2026,"96","2518"
"Yamamoto, Yoshinobu",808967,2026,"96","2248"
"Gausman, Kevin",592332,2026,"93.9","2272"
"Wacha, Michael",608379,2026,"93","2155"
"Valdez, Framber",664285,2026,"95","2202"
"Keller, Mitch",656605,2026,"93.4","2364"
"Cease, Dylan",656302,2026,"97.4","2472"
"Pallante, Andre",669467,2026,"95.2","2234"
"Gray, Sonny",543243,2026,"91.7","2469"
"Kirby, George",669923,2026,"96.6","2255"
"Abbott, Andrew",671096,2026,"92.5","2343"
"Ryan, Joe",657746,2026,"93.5","2288"
"Messick, Parker",800048,2026,"94.1","2157"
"Peralta, Freddy",642547,2026,"94.2","2423"
"Meyer, Max",676974,2026,"95.1","2614"
"Rea, Colin",607067,2026,"93.7","2177"
"Roupp, Landen",694738,2026,"92.9","2148"
"Bradley, Taj",671737,2026,"97","2311"
"Imanaga, Shota",684007,2026,"91.7","2500"
"Cantillo, Joey",676282,2026,"92.1","1869"
"Burns, Chase",695505,2026,"97.7","2622"
"Sale, Chris",519242,2026,"96.1","2336"
"Cameron, Noah",702070,2026,"92.5","2324"
"Cavalli, Cade",676917,2026,"96.8","2298"
"Schlittler, Cam",693645,2026,"97.9","2511"
"Martinez, Nick",607259,2026,"92.8","2261"
"Gore, MacKenzie",669022,2026,"95.4","2244"
"Misiorowski, Jacob",694819,2026,"100.6","2625"
